YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202210,173111,1051457,1,0,"N","EDGEWOOD",35.07,-106.2,354200,10612000
202210,173111,1053281,1,9.95,"NW","MEXICAN SPGS",35.8753,-108.9632,3552518,10857792
202210,173122,1051505,1,1.08,"W","NUCLA",38.27,-108.55,3816200,10833000
202210,173123,1051506,1,.81,"NE","ELGIN",38.988,-110.139,3859280,1108340
202210,173123,1051507,1,1.75,"WNW","SOLITUDE SIDING",38.96,-110.06,3857600,1103600
202210,173123,1051507,2,1.97,"WNW","SOLITUDE SIDING",38.9568,-110.0656,3857408,1103936
202210,173123,1051507,3,1.56,"WNW","SOLITUDE SIDING",38.9551,-110.0583,3857306,1103498
202210,173123,1051507,4,1.48,"WNW","SOLITUDE SIDING",38.9572,-110.056,3857432,1103360
202210,173123,1051508,1,3.86,"SE","MOAB",38.54,-109.5,3832400,10930000
202210,173123,1051508,2,3.9,"SE","MOAB",38.5377,-109.5023,3832262,10930138
202210,173123,1051508,3,3.73,"SE","MOAB",38.5398,-109.5038,3832388,10930228
202210,173123,1051508,4,3.81,"SE","MOAB",38.5408,-109.5005,3832448,10930030
202210,173123,1051509,1,20.32,"W","POTASH",38.523,-109.9959,3831380,10959754
202210,173123,1051509,2,20.23,"W","POTASH",38.5221,-109.9943,3831326,10959658
202210,173123,1051509,3,19.92,"W","POTASH",38.5265,-109.9884,3831590,10959304
202210,173123,1051509,4,20.1,"W","POTASH",38.5276,-109.9917,3831656,10959502
202210,173124,1051510,1,.53,"W","(1V1)RIFLE ARPT",39.53,-107.73,3931800,10743800
202210,173124,1051511,1,.26,"WNW","NORWOOD",38.132,-108.284,387920,10817040
202210,173124,1051511,2,1.57,"SSE","(TEX)TELLURIDE ARPT",37.9284,-107.9108,3755704,10754648
202210,173124,1051511,3,3.07,"E","(TEX)TELLURIDE ARPT",37.9561,-107.8642,3757366,10751852
202210,173124,1051511,4,1.04,"E","NORWOOD ARPT",38.1486,-108.2309,388916,10813854
202210,173124,1051512,1,1.35,"SSE","DURHAM",39.0638,-108.5861,393828,10835166
202210,173124,1051512,2,1.36,"SSE","DURHAM",39.0636,-108.586,393816,10835160
202210,173124,1051512,3,1.39,"SE","DURHAM",39.0635,-108.5852,393810,10835112
202210,173124,1051512,4,1.37,"SE","DURHAM",39.0639,-108.5851,393834,10835106
202210,173124,1051512,5,1.36,"SE","DURHAM",39.0639,-108.5855,393834,10835130
202210,173124,1051513,1,1.69,"SSW","VANCORUM",38.2087,-108.6151,3812522,10836906
202210,173124,1051513,2,2.18,"S","VANCORUM",38.1989,-108.6071,3811934,10836426
202210,173124,1051513,3,2.78,"SSW","VANCORUM",38.1928,-108.6194,3811568,10837164
202210,173124,1051513,4,1.95,"SW","VANCORUM",38.214,-108.6296,3812840,10837776
202210,173233,1052062,1,1.78,"WNW","BELEN",34.674,-106.8063,3440440,10648378
202210,173259,1052193,1,1.51,"NNW","WAYNESBORO",33.1009,-82.0277,336054,821662
202210,173259,1052193,2,1.56,"N","WAYNESBORO",33.1023,-82.0158,336138,82948
202210,173259,1052193,3,1.06,"NE","WAYNESBORO",33.0926,-82.0094,335556,82564
202210,173259,1052193,4,.67,"NW","WAYNESBORO",33.0865,-82.0285,335190,821710
202210,173259,1052260,1,2.7,"WSW","WAYNESBORO",33.06,-82.06,333600,823600
202210,173259,1052261,1,2.22,"SW","WAYNESBORO",33.06,-82.05,333600,823000
202210,173259,1052263,1,.9,"SE","WAYNESBORO",33.07,-82.01,334200,82600
202210,173259,1052265,1,4,"SE","SHELL BLUFF",33.11,-81.85,336600,8151000
202210,173267,1052218,1,13.36,"SSW","EGG HARBOR",44.8764,-87.4006,4452584,8724036
202210,173270,1052248,1,.32,"S","BROCKPORT",41.2454,-78.7292,4114724,7843752
202210,173270,1052283,1,.26,"WSW","DU BOIS",41.1191,-78.7748,417146,7846488
202210,173281,1052290,1,2.77,"ESE","FREEPORT",28.9285,-95.2913,2855710,9517478
202210,173281,1052291,1,2.38,"ESE","FREEPORT",28.936,-95.294,2856160,9517640
202210,173281,1052293,1,25.04,"WSW","SARGENT",28.5911,-95.9826,2835466,9558956
202210,173282,1052294,1,.51,"SW","JOYCE",29.5644,-95.0355,2933864,952130
202210,173283,1056378,1,1.37,"S","UNION GROVE",34.9103,-86.4829,3454618,8628974
202210,173283,1056381,1,2.28,"W","OLD BETHEL",34.58,-87.56,3434800,8733600
202210,173283,1056382,1,2.86,"SE","SPRING VLY",34.6256,-87.5895,3437536,8735370
202210,173288,1052306,1,2.73,"S","ABIGAIL",38.5313,-83.9702,3831878,8358212
202210,173290,1052313,1,.11,"SE","BROOKLINE",42.3187,-71.1288,4219122,717728
202210,173290,1052313,2,1.1,"SW","RESERVOIR",42.3174,-71.1632,4219044,719792
202210,173290,1052313,3,1.23,"SSW","RESERVOIR",42.315,-71.1629,4218900,719774
202210,173290,1052313,4,.26,"S","BROOKLINE",42.3162,-71.1291,4218972,717746
