DATE,Day0_PRCP,Day1_PRCP,Day2_PRCP,Day3_PRCP,Day4_PRCP,Day5_PRCP,Day6_PRCP,Day7_PRCP,Day8_PRCP,Day9_PRCP,Day10_PRCP,Day0_SNOW,Day1_SNOW,Day2_SNOW,Day3_SNOW,Day4_SNOW,Day5_SNOW,Day6_SNOW,Day7_SNOW,Day8_SNOW,Day9_SNOW,Day10_SNOW,Day0_SNWD,Day1_SNWD,Day2_SNWD,Day3_SNWD,Day4_SNWD,Day5_SNWD,Day6_SNWD,Day7_SNWD,Day8_SNWD,Day9_SNWD,Day10_SNWD
1/8/24,0,0.625,0.02,0,0.646666667,0.105,0,0.415,0.175,0,0,0,0,0,0,0,0,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4
1/9/24,0.625,0.02,0,0.646666667,0.105,0,0.415,0.175,0,0,0.16,0,0,0,0,0,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5
1/10/24,0.02,0,0.646666667,0.105,0,0.415,0.175,0,0,0.16,0,0,0,0,0,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2
1/11/24,0,0.646666667,0.105,0,0.415,0.175,0,0,0.16,0,0,0,0,0,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2,2
1/12/24,0.646666667,0.105,0,0.415,0.175,0,0,0.16,0,0,0,0,0,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2,2,1.5
1/13/24,0.105,0,0.415,0.175,0,0,0.16,0,0,0,0,0,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2,2,1.5,0
1/14/24,0,0.415,0.175,0,0,0.16,0,0,0,0,0.283333333,0,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2,2,1.5,0,0
1/15/24,0.415,0.175,0,0,0.16,0,0,0,0,0.283333333,0.366666667,3.2,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2,2,1.5,0,0,0
1/16/24,0.175,0,0,0.16,0,0,0,0,0.283333333,0.366666667,0.685,2.1,0,0,0,0,0,0,0,0,0,0,5.2,4.5,4,2.5,2,2,1.5,0,0,0,0
1/17/24,0,0,0.16,0,0,0,0,0.283333333,0.366666667,0.685,0.306666667,0,0,0,0,0,0,0,0,0,0,0,4.5,4,2.5,2,2,1.5,0,0,0,0,0
1/18/24,0,0.16,0,0,0,0,0.283333333,0.366666667,0.685,0.306666667,0.11,0,0,0,0,0,0,0,0,0,0,0,4,2.5,2,2,1.5,0,0,0,0,0,0
1/19/24,0.16,0,0,0,0,0.283333333,0.366666667,0.685,0.306666667,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,2.5,2,2,1.5,0,0,0,0,0,0,0
1/20/24,0,0,0,0,0.283333333,0.366666667,0.685,0.306666667,0.11,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,2,2,1.5,0,0,0,0,0,0,0,0
1/21/24,0,0,0,0.283333333,0.366666667,0.685,0.306666667,0.11,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
