STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",12/28/23,7,1.27,,,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",12/29/23,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",12/30/23,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",12/31/23,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/1/24,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/2/24,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/10/24,8,1.4,,,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/11/24,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/12/24,,,0.31,,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/13/24,,,0.11,,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/14/24,,,0,0,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/15/24,,,0.38,3.2,
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/16/24,,,0.16,2.1,5.2
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/17/24,,,0,0,4.5
US1TNDV0184,"HERMITAGE 4.6 WSW, TN US",1/18/24,,,0,0,4
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/22/23,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/24/23,2,0.3,,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/25/23,,,1.02,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/26/23,,,0.06,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/27/23,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/29/23,2,0,,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/30/23,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",12/31/23,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/1/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/2/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/3/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/4/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/5/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/6/24,,,0.52,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/7/24,,,0.08,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/8/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/9/24,,,0.9,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/10/24,,,0.02,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/11/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/12/24,,,1.1,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/13/24,,,0.1,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/14/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/15/24,,,0.45,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/16/24,,,0.19,,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/17/24,,,0,0,
US1TNDV0143,"HERMITAGE 3.2 SSW, TN US",1/18/24,,,0,0,
US1TNDV0176,"NASHVILLE 6.1 ENE, TN US",12/23/23,,,0.22,,
US1TNDV0176,"NASHVILLE 6.1 ENE, TN US",12/25/23,,,0.43,,
US1TNDV0176,"NASHVILLE 6.1 ENE, TN US",1/6/24,,,0.43,,
US1TNDV0176,"NASHVILLE 6.1 ENE, TN US",1/9/24,,,0.35,,
US1TNDV0176,"NASHVILLE 6.1 ENE, TN US",1/12/24,,,0.53,,
